year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score
2023,st_peters,St Peters Station,1450,440,480,350,740,1410,320,670,2990,2870,5860,1890,830,2150,990,4040,120,0.689419795221843
2023,stanmore,Stanmore Station,1580,390,410,340,750,1330,220,630,2960,2690,5650,1970,750,2080,850,4050,270,0.7168141592920354
2023,stanwell_park,Stanwell Park Station,0,0,0,0,0,0,0,0,50,60,110,0,0,0,0,0,-10,0.0
2023,strathfield,Strathfield Station,7380,3290,4280,3600,6170,8280,3490,5730,21320,20900,42220,10670,7880,14450,9220,25120,420,0.5949786830885836
2023,summer_hill,Summer Hill Station,1560,360,580,400,660,1410,260,740,3060,2910,5970,1920,980,2070,1000,3990,150,0.6683417085427136
2023,sutherland,Sutherland Station,2980,730,980,870,1120,2730,530,1090,5610,5420,11030,3710,1850,3850,1620,7560,190,0.6854034451495921
2023,sydenham,Sydenham Station,1520,1770,980,900,2100,1670,800,1200,5400,5540,10940,3290,1880,3770,2000,7060,-140,0.6453382084095064
2023,tahmoor,Tahmoor Station,0,0,0,0,0,0,0,0,130,120,250,0,0,0,0,0,10,0.0
2023,tallawong,Tallawong Station,3210,190,510,340,530,2710,310,1060,4560,4300,8860,3400,850,3240,1370,6640,260,0.7494356659142212
2023,tascott,Tascott Station,0,0,0,0,0,0,0,0,90,60,150,0,0,0,0,0,30,0.0
2023,telarah,Telarah Station,0,0,0,0,0,0,0,0,110,110,220,0,0,0,0,0,0,0.0
2023,telopea,Telopea Station,0,0,0,0,0,0,0,0,100,90,190,0,0,0,0,0,10,0.0
2023,tempe,Tempe Station,670,220,140,120,310,610,70,200,1190,1150,2340,890,260,920,270,1810,40,0.7735042735042735
2023,thirroul,Thirroul Station,520,50,130,130,90,440,80,170,820,790,1610,570,260,530,250,1100,30,0.6832298136645962
2023,thornleigh,Thornleigh Station,770,170,230,190,250,640,90,290,1340,1290,2630,940,420,890,380,1830,50,0.6958174904942965
2023,thornton,Thornton Station,0,0,0,0,0,0,0,0,210,180,390,0,0,0,0,0,30,0.0
2023,toongabbie,Toongabbie Station,1300,280,520,420,510,1270,270,540,2600,2510,5110,1580,940,1780,810,3360,90,0.6575342465753424
2023,town_hall,Town Hall Station,5280,34930,13920,17520,39080,19850,22320,7980,80600,80280,160880,40210,31440,58930,30300,99140,320,0.6162357036300348
2023,towradgi,Towradgi Station,0,0,0,0,0,0,0,0,70,60,130,0,0,0,0,0,10,0.0
2023,tuggerah,Tuggerah Station,450,180,180,180,200,440,180,170,1010,970,1980,630,360,640,350,1270,40,0.6414141414141414
2023,turramurra,Turramurra Station,1960,350,590,440,650,1750,190,710,3390,3250,6640,2310,1030,2400,900,4710,140,0.7093373493975904
2023,turrella,Turrella Station,440,90,180,120,220,380,130,300,970,890,1860,530,300,600,430,1130,80,0.6075268817204301
2023,unanderra,Unanderra Station,160,40,60,50,60,120,50,80,330,290,620,200,110,180,130,380,40,0.6129032258064516
2023,valley_heights,Valley Heights Station,0,0,0,0,0,0,0,0,40,40,80,0,0,0,0,0,0,0.0
2023,victoria_street,Victoria Street Station,0,0,0,0,0,0,0,0,230,210,440,0,0,0,0,0,20,0.0
2023,villawood,Villawood Station,180,100,100,70,140,170,50,80,470,420,890,280,170,310,130,590,50,0.6629213483146067
2023,vineyard,Vineyard Station,0,0,0,0,0,0,0,0,110,110,220,0,0,0,0,0,0,0.0
2023,wahroonga,Wahroonga Station,870,340,260,250,520,760,100,270,1750,1620,3370,1210,510,1280,370,2490,130,0.7388724035608308
2023,waitara,Waitara Station,1580,430,400,320,710,1290,160,600,2850,2640,5490,2010,720,2000,760,4010,210,0.7304189435336976
2023,warabrook,Warabrook Station,0,0,0,0,0,0,0,0,150,170,320,0,0,0,0,0,-20,0.0
2023,waratah,Waratah Station,0,0,0,0,0,0,0,0,180,160,340,0,0,0,0,0,20,0.0
2023,warnervale,Warnervale Station,0,0,0,0,0,0,0,0,210,180,390,0,0,0,0,0,30,0.0
2023,warrawee,Warrawee Station,350,210,120,90,320,330,40,120,830,750,1580,560,210,650,160,1210,80,0.7658227848101266
2023,warrimoo,Warrimoo Station,0,0,0,0,0,0,0,0,100,90,190,0,0,0,0,0,10,0.0
2023,warwick_farm,Warwick Farm Station,1070,260,380,270,450,970,280,470,2180,1970,4150,1330,650,1420,750,2750,210,0.6626506024096386
2023,waterfall,Waterfall Station,0,0,0,0,0,0,0,0,350,350,700,0,0,0,0,0,0,0.0
2023,waverton,Waverton Station,860,230,410,290,480,710,140,430,1890,1660,3550,1090,700,1190,570,2280,230,0.6422535211267606
2023,wentworth_falls,Wentworth Falls Station,0,0,0,0,0,0,0,0,250,220,470,0,0,0,0,0,30,0.0
2023,wentworthville,Wentworthville Station,1840,250,610,500,600,1750,350,820,3400,3320,6720,2090,1110,2350,1170,4440,80,0.6607142857142857
2023,werrington,Werrington Station,580,90,190,130,150,520,130,190,1050,930,1980,670,320,670,320,1340,120,0.6767676767676768
2023,west_ryde,West Ryde Station,1900,590,800,690,930,1870,420,880,4050,4030,8080,2490,1490,2800,1300,5290,20,0.6547029702970297
2023,westmead,Westmead Station,1800,1910,1390,1110,2350,1610,680,1170,6220,5800,12020,3710,2500,3960,1850,7670,420,0.6381031613976705
2023,wiley_park,Wiley Park Station,640,90,320,210,280,540,210,450,1450,1290,2740,730,530,820,660,1550,160,0.5656934306569343
2023,windsor,Windsor Station,270,120,130,120,130,280,90,100,620,620,1240,390,250,410,190,800,0,0.6451612903225806
2023,wolli_creek,Wolli Creek Station,3250,680,1720,1160,1900,3410,1040,2600,7910,7850,15760,3930,2880,5310,3640,9240,60,0.5862944162436549
2023,wollongong,Wollongong Station,500,380,370,330,470,510,190,310,1530,1530,3060,880,700,980,500,1860,0,0.6078431372549019
2023,wollstonecraft,Wollstonecraft Station,1150,150,390,300,410,940,130,550,2080,1940,4020,1300,690,1350,680,2650,140,0.6592039800995025
2023,woodford,Woodford Station,0,0,0,0,0,0,0,0,60,40,100,0,0,0,0,0,20,0.0
2023,woolooware,Woolooware Station,690,120,170,140,180,540,80,230,1120,1030,2150,810,310,720,310,1530,90,0.7116279069767442
2023,woonona,Woonona Station,0,0,0,0,0,0,0,0,120,80,200,0,0,0,0,0,40,0.0
2023,woy_woy,Woy Woy Station,1700,170,500,470,330,1670,410,560,2940,2870,5810,1870,970,2000,970,3870,70,0.6660929432013769
2023,wyee,Wyee Station,0,0,0,0,0,0,0,0,220,180,400,0,0,0,0,0,40,0.0
2023,wynyard,Wynyard Station,4210,43070,7930,9880,37440,11320,18590,6270,68170,70540,138710,47280,17810,48760,24860,96040,-2370,0.6923797851632904
2023,wyong,Wyong Station,510,160,240,210,190,460,230,330,1170,1160,2330,670,450,650,560,1320,10,0.5665236051502146
2023,yagoona,Yagoona Station,630,110,280,180,220,550,180,310,1310,1150,2460,740,460,770,490,1510,160,0.6138211382113821
2023,yennora,Yennora Station,320,440,280,220,410,280,130,210,1140,1150,2290,760,500,690,340,1450,-10,0.6331877729257642
