transport_mode,total_trips,avg_monthly_trips
Train,872695729.0,1520375.8344947735
Bus,713301479.0,922770.3479948253
train,496104973.54,1908096.0520769232
bus,400699908.0,1676568.6527196653
Light Rail,93710587.0,170382.88545454547
metro,87678330.41999996,346554.6656916994
light rail,72383100.0,284972.83464566927
Metro,63126402.0,118882.11299435029
Ferry,39026738.0,71608.69357798166
ferry,30270033.0,122056.58467741935
unallocated,784.0,23.058823529411764
