model,MAE,RMSE,MAPE,R2
Linear Regression,860998.4771165279,1175742.6617037777,4985.540269352006,0.9829641994583144
Naive Baseline,772661.5139024393,1232682.3095644535,9.026374677750336,0.9812742026227906
Random Forest,1145300.5065531067,1576408.1417345852,1131.9983567064794,0.9693750540114049
